[2023-12-02 12:52:08,502 | finetune_omp.py | line 137] - INFO: loss: 1.5819444706507586
[2023-12-02 12:52:26,111 | finetune_omp.py | line 137] - INFO: loss: 1.5633929636027508
[2023-12-02 12:52:43,951 | finetune_omp.py | line 137] - INFO: loss: 1.5445286534785077
[2023-12-02 12:53:01,664 | finetune_omp.py | line 137] - INFO: loss: 1.5269761498304903
[2023-12-02 12:53:19,708 | finetune_omp.py | line 137] - INFO: loss: 1.5108139718367348
[2023-12-02 12:53:37,468 | finetune_omp.py | line 137] - INFO: loss: 1.4923779595663667
[2023-12-02 12:53:55,148 | finetune_omp.py | line 137] - INFO: loss: 1.4757356674620297
[2023-12-02 12:54:13,251 | finetune_omp.py | line 137] - INFO: loss: 1.4606143912045004
[2023-12-02 12:54:31,067 | finetune_omp.py | line 137] - INFO: loss: 1.44641609947869
[2023-12-02 12:54:48,981 | finetune_omp.py | line 137] - INFO: loss: 1.431913989737398
[2023-12-02 12:55:06,701 | finetune_omp.py | line 137] - INFO: loss: 1.4180249453244418
[2023-12-02 12:55:24,372 | finetune_omp.py | line 137] - INFO: loss: 1.403617902452835
[2023-12-02 12:55:42,093 | finetune_omp.py | line 137] - INFO: loss: 1.389823532662123
[2023-12-02 12:55:59,777 | finetune_omp.py | line 137] - INFO: loss: 1.3773074695489078
[2023-12-02 12:56:17,509 | finetune_omp.py | line 137] - INFO: loss: 1.3627252348071366
[2023-12-02 12:56:35,358 | finetune_omp.py | line 137] - INFO: loss: 1.3502019089629826
[2023-12-02 12:56:53,106 | finetune_omp.py | line 137] - INFO: loss: 1.3369425667934873
[2023-12-02 12:57:10,841 | finetune_omp.py | line 137] - INFO: loss: 1.3253768725839437
[2023-12-02 12:57:28,903 | finetune_omp.py | line 137] - INFO: loss: 1.3132381984719554
[2023-12-02 12:57:46,927 | finetune_omp.py | line 137] - INFO: loss: 1.3002929794169047
[2023-12-02 12:58:04,608 | finetune_omp.py | line 137] - INFO: loss: 1.288357297394099
[2023-12-02 12:58:22,510 | finetune_omp.py | line 137] - INFO: loss: 1.278485647566809
[2023-12-02 12:58:40,336 | finetune_omp.py | line 137] - INFO: loss: 1.2679079751919264
[2023-12-02 12:58:58,162 | finetune_omp.py | line 137] - INFO: loss: 1.258343804057209
[2023-12-02 12:59:16,174 | finetune_omp.py | line 137] - INFO: loss: 1.2478701759364363
[2023-12-02 12:59:33,854 | finetune_omp.py | line 137] - INFO: loss: 1.2377604413137369
[2023-12-02 12:59:51,613 | finetune_omp.py | line 137] - INFO: loss: 1.2311306152944073
[2023-12-02 13:00:09,290 | finetune_omp.py | line 137] - INFO: loss: 1.2245062666325257
[2023-12-02 13:00:27,113 | finetune_omp.py | line 137] - INFO: loss: 1.21522942753499
[2023-12-02 13:00:45,436 | finetune_omp.py | line 137] - INFO: loss: 1.2072386459632558
[2023-12-02 13:01:03,448 | finetune_omp.py | line 137] - INFO: loss: 1.1971654370560043
[2023-12-02 13:01:21,114 | finetune_omp.py | line 137] - INFO: loss: 1.187785988068349
[2023-12-02 13:01:38,987 | finetune_omp.py | line 137] - INFO: loss: 1.177812644821051
[2023-12-02 13:01:57,117 | finetune_omp.py | line 137] - INFO: loss: 1.1702748497360331
[2023-12-02 13:02:14,856 | finetune_omp.py | line 137] - INFO: loss: 1.1657442697702407
[2023-12-02 13:02:32,735 | finetune_omp.py | line 137] - INFO: loss: 1.1570347244214452
[2023-12-02 13:02:50,784 | finetune_omp.py | line 137] - INFO: loss: 1.1476143386973627
[2023-12-02 13:03:08,525 | finetune_omp.py | line 137] - INFO: loss: 1.1388780552978945
[2023-12-02 13:03:26,325 | finetune_omp.py | line 137] - INFO: loss: 1.13094744641548
[2023-12-02 13:03:44,101 | finetune_omp.py | line 137] - INFO: loss: 1.121881201938073
[2023-12-02 13:04:02,054 | finetune_omp.py | line 137] - INFO: loss: 1.1142868904739784
[2023-12-02 13:04:19,793 | finetune_omp.py | line 137] - INFO: loss: 1.1063721102571045
[2023-12-02 13:04:37,465 | finetune_omp.py | line 137] - INFO: loss: 1.0992763544010722
[2023-12-02 13:04:55,334 | finetune_omp.py | line 137] - INFO: loss: 1.0929316907339837
[2023-12-02 13:05:13,001 | finetune_omp.py | line 137] - INFO: loss: 1.08655096428846
[2023-12-02 13:05:31,268 | finetune_omp.py | line 137] - INFO: loss: 1.0787099811316827
[2023-12-02 13:05:49,000 | finetune_omp.py | line 137] - INFO: loss: 1.072043683489264
[2023-12-02 13:06:07,015 | finetune_omp.py | line 137] - INFO: loss: 1.0649797367377063
[2023-12-02 13:06:24,678 | finetune_omp.py | line 137] - INFO: loss: 1.0591802937439887
[2023-12-02 13:06:42,618 | finetune_omp.py | line 137] - INFO: loss: 1.0522416239281454
