[2023-12-01 16:41:26,719 | finetune_omp.py | line 87] - INFO: loss: 1.3694685995578766
[2023-12-01 16:41:34,599 | finetune_omp.py | line 87] - INFO: loss: 1.3673146450659601
[2023-12-01 16:41:38,713 | finetune_omp.py | line 87] - INFO: loss: 1.3680074456027895
[2023-12-01 16:41:42,330 | finetune_omp.py | line 87] - INFO: loss: 1.3653901731661826
[2023-12-01 16:41:46,077 | finetune_omp.py | line 87] - INFO: loss: 1.3625096463704411
[2023-12-01 16:41:49,039 | finetune_omp.py | line 87] - INFO: loss: 1.361518911076981
[2023-12-01 16:41:52,362 | finetune_omp.py | line 87] - INFO: loss: 1.3622401563397184
[2023-12-01 16:41:57,761 | finetune_omp.py | line 87] - INFO: loss: 1.359824505934992
[2023-12-01 16:42:02,245 | finetune_omp.py | line 87] - INFO: loss: 1.3618373041067238
[2023-12-01 16:42:08,003 | finetune_omp.py | line 87] - INFO: loss: 1.3605408481715073
[2023-12-01 16:42:10,518 | finetune_omp.py | line 87] - INFO: loss: 1.3608730461269656
[2023-12-01 16:42:17,012 | finetune_omp.py | line 87] - INFO: loss: 1.361431249468641
[2023-12-01 16:42:23,465 | finetune_omp.py | line 87] - INFO: loss: 1.3612786684792804
[2023-12-01 16:42:29,076 | finetune_omp.py | line 87] - INFO: loss: 1.360689128940918
[2023-12-01 16:42:36,757 | finetune_omp.py | line 87] - INFO: loss: 1.3593718481931087
[2023-12-01 16:42:40,408 | finetune_omp.py | line 87] - INFO: loss: 1.3590108107199186
[2023-12-01 16:42:47,014 | finetune_omp.py | line 87] - INFO: loss: 1.358844311049412
[2023-12-01 16:42:50,588 | finetune_omp.py | line 87] - INFO: loss: 1.357301165920092
[2023-12-01 16:42:56,783 | finetune_omp.py | line 87] - INFO: loss: 1.3563554458206324
[2023-12-01 16:43:00,401 | finetune_omp.py | line 87] - INFO: loss: 1.3553464894856864
[2023-12-01 16:43:06,801 | finetune_omp.py | line 87] - INFO: loss: 1.352274871755276
[2023-12-01 16:43:10,649 | finetune_omp.py | line 87] - INFO: loss: 1.349165807990833
[2023-12-01 16:43:15,176 | finetune_omp.py | line 87] - INFO: loss: 1.3489753449404682
[2023-12-01 16:43:21,662 | finetune_omp.py | line 87] - INFO: loss: 1.3481930772816302
[2023-12-01 16:43:26,835 | finetune_omp.py | line 87] - INFO: loss: 1.347856785672687
[2023-12-01 16:43:29,886 | finetune_omp.py | line 87] - INFO: loss: 1.347577809510868
[2023-12-01 16:43:36,236 | finetune_omp.py | line 87] - INFO: loss: 1.346762177767482
[2023-12-01 16:43:40,033 | finetune_omp.py | line 87] - INFO: loss: 1.3465675244169204
[2023-12-01 16:43:45,291 | finetune_omp.py | line 87] - INFO: loss: 1.3439127960791724
[2023-12-01 16:43:52,444 | finetune_omp.py | line 87] - INFO: loss: 1.3433968447125542
[2023-12-01 16:43:58,188 | finetune_omp.py | line 87] - INFO: loss: 1.3411284972415771
[2023-12-01 16:44:04,474 | finetune_omp.py | line 87] - INFO: loss: 1.3376858810401473
[2023-12-01 16:44:08,738 | finetune_omp.py | line 87] - INFO: loss: 1.3361720861387782
[2023-12-01 16:44:11,878 | finetune_omp.py | line 87] - INFO: loss: 1.3340379717228534
[2023-12-01 16:44:16,907 | finetune_omp.py | line 87] - INFO: loss: 1.3328990668028917
[2023-12-01 16:44:20,450 | finetune_omp.py | line 87] - INFO: loss: 1.33339818894688
[2023-12-01 16:44:25,206 | finetune_omp.py | line 87] - INFO: loss: 1.3316891889451894
[2023-12-01 16:44:30,990 | finetune_omp.py | line 87] - INFO: loss: 1.3301210421764655
[2023-12-01 16:44:34,702 | finetune_omp.py | line 87] - INFO: loss: 1.3300990216171706
[2023-12-01 16:44:40,568 | finetune_omp.py | line 87] - INFO: loss: 1.330307985902619
[2023-12-01 16:44:43,557 | finetune_omp.py | line 87] - INFO: loss: 1.3305828029256797
[2023-12-01 16:44:47,684 | finetune_omp.py | line 87] - INFO: loss: 1.3289068709579912
[2023-12-01 16:44:51,348 | finetune_omp.py | line 87] - INFO: loss: 1.3289459262497374
[2023-12-01 16:44:56,058 | finetune_omp.py | line 87] - INFO: loss: 1.3272947880162855
[2023-12-01 16:45:00,159 | finetune_omp.py | line 87] - INFO: loss: 1.3274865310863802
[2023-12-01 16:45:03,461 | finetune_omp.py | line 87] - INFO: loss: 1.3259638228871586
[2023-12-01 16:45:08,511 | finetune_omp.py | line 87] - INFO: loss: 1.3264079220942118
[2023-12-01 16:45:11,994 | finetune_omp.py | line 87] - INFO: loss: 1.3262102810256216
[2023-12-01 16:45:16,583 | finetune_omp.py | line 87] - INFO: loss: 1.3262063535165
[2023-12-01 16:45:18,995 | finetune_omp.py | line 87] - INFO: loss: 1.3256552686576284
[2023-12-01 16:45:24,351 | finetune_omp.py | line 87] - INFO: loss: 1.3251166444472224
[2023-12-01 16:45:30,265 | finetune_omp.py | line 87] - INFO: loss: 1.3236036204262167
[2023-12-01 16:45:32,886 | finetune_omp.py | line 87] - INFO: loss: 1.325018650538575
[2023-12-01 16:45:39,341 | finetune_omp.py | line 87] - INFO: loss: 1.3248493938918515
[2023-12-01 16:45:41,435 | finetune_omp.py | line 87] - INFO: loss: 1.3235955183708796
[2023-12-01 16:45:45,622 | finetune_omp.py | line 87] - INFO: loss: 1.3240413274753298
[2023-12-01 16:45:48,598 | finetune_omp.py | line 87] - INFO: loss: 1.3237082515181224
[2023-12-01 16:45:54,809 | finetune_omp.py | line 87] - INFO: loss: 1.323252969864969
[2023-12-01 16:45:58,763 | finetune_omp.py | line 87] - INFO: loss: 1.3228156457273224
[2023-12-01 16:46:01,907 | finetune_omp.py | line 87] - INFO: loss: 1.320733431286513
[2023-12-01 16:46:07,506 | finetune_omp.py | line 87] - INFO: loss: 1.3190127668607714
[2023-12-01 16:46:13,125 | finetune_omp.py | line 87] - INFO: loss: 1.3183766347323425
[2023-12-01 16:46:15,814 | finetune_omp.py | line 87] - INFO: loss: 1.3178280123576556
[2023-12-01 16:46:20,838 | finetune_omp.py | line 87] - INFO: loss: 1.317140780326314
[2023-12-01 16:46:26,629 | finetune_omp.py | line 87] - INFO: loss: 1.3177682868539604
[2023-12-01 16:46:30,455 | finetune_omp.py | line 87] - INFO: loss: 1.31537509835371
[2023-12-01 16:46:33,508 | finetune_omp.py | line 87] - INFO: loss: 1.3144320681702366
[2023-12-01 16:46:39,935 | finetune_omp.py | line 87] - INFO: loss: 1.3143591734564721
[2023-12-01 16:46:46,135 | finetune_omp.py | line 87] - INFO: loss: 1.3140497703979317
[2023-12-01 16:46:48,931 | finetune_omp.py | line 87] - INFO: loss: 1.3148293245986138
[2023-12-01 16:46:52,329 | finetune_omp.py | line 87] - INFO: loss: 1.3154414887849124
[2023-12-01 16:46:58,018 | finetune_omp.py | line 87] - INFO: loss: 1.315775749477936
[2023-12-01 16:47:01,061 | finetune_omp.py | line 87] - INFO: loss: 1.3161848414981219
[2023-12-01 16:47:06,522 | finetune_omp.py | line 87] - INFO: loss: 1.3146822913726002
[2023-12-01 16:47:10,803 | finetune_omp.py | line 87] - INFO: loss: 1.3139656642326474
[2023-12-01 16:47:14,920 | finetune_omp.py | line 87] - INFO: loss: 1.3139664943078972
[2023-12-01 16:47:19,279 | finetune_omp.py | line 87] - INFO: loss: 1.3127197754041537
[2023-12-01 16:47:21,844 | finetune_omp.py | line 87] - INFO: loss: 1.3138096012811045
